127.0.0.1 - - [23/Apr/2022:14:51:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/ HTTP/1.1" 200 48597
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/morris/morris.css HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/datatables/plugins/bootstrap/dataTables.bootstrap4.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 13718
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/material/material.min.css HTTP/1.1" 200 141302
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/material_style.css HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/summernote/summernote.css HTTP/1.1" 200 15537
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/style.css HTTP/1.1" 200 226916
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/material-datetimepicker/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/dropzone/dropzone.css HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/pages/animate_page.css HTTP/1.1" 200 58594
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/responsive.css HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:12 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/plugins.min.css HTTP/1.1" 200 30425
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 6286
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/popper/popper.min.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/jquery-blockui/jquery.blockui.min.js HTTP/1.1" 200 9569
